"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:17:43 GMT 2021","Sun Aug 15 20:17:53 GMT 2021","10020","conduit_tests","new_post_04_test","","","","test_check2",""
"passed","Sun Aug 15 20:11:25 GMT 2021","Sun Aug 15 20:11:45 GMT 2021","20843","conduit_tests","cookie_post_07_test","","","","test_register",""
"passed","Sun Aug 15 20:14:57 GMT 2021","Sun Aug 15 20:15:11 GMT 2021","14855","conduit_tests","login_02_test","","","","test_register",""
"passed","Sun Aug 15 20:15:49 GMT 2021","Sun Aug 15 20:16:22 GMT 2021","32976","conduit_tests","logout_03_test","","","","test_register",""
"passed","Sun Aug 15 20:12:18 GMT 2021","Sun Aug 15 20:12:26 GMT 2021","7821","conduit_tests","delete_06_test","","","","test_register",""
"broken","Sun Aug 15 20:12:40 GMT 2021","Sun Aug 15 20:12:45 GMT 2021","5020","conduit_tests","delete_06_test","","","","test_delete_post",""
"broken","Sun Aug 15 20:10:54 GMT 2021","Sun Aug 15 20:11:24 GMT 2021","30420","conduit_tests","adatbevitel_11_test","","","","test_adatbevitel",""
"broken","Sun Aug 15 20:16:38 GMT 2021","Sun Aug 15 20:16:45 GMT 2021","7664","conduit_tests","new_post_04_test","","","","test_register",""
"passed","Sun Aug 15 20:10:15 GMT 2021","Sun Aug 15 20:10:41 GMT 2021","25244","conduit_tests","adatbevitel_11_test","","","","test_register",""
"broken","Sun Aug 15 20:17:42 GMT 2021","Sun Aug 15 20:17:43 GMT 2021","1068","conduit_tests","new_post_04_test","","","","test_home2",""
"passed","Sun Aug 15 20:18:34 GMT 2021","Sun Aug 15 20:18:41 GMT 2021","6487","conduit_tests","save_09_test","","","","test_login",""
"passed","Sun Aug 15 20:12:26 GMT 2021","Sun Aug 15 20:12:37 GMT 2021","11467","conduit_tests","delete_06_test","","","","test_login",""
"passed","Sun Aug 15 20:16:22 GMT 2021","Sun Aug 15 20:16:38 GMT 2021","15532","conduit_tests","logout_03_test","","","","test_login",""
"passed","Sun Aug 15 20:13:35 GMT 2021","Sun Aug 15 20:14:08 GMT 2021","32913","conduit_tests","list_pagin_08_test","","","","test_register",""
"passed","Sun Aug 15 20:14:08 GMT 2021","Sun Aug 15 20:14:25 GMT 2021","17488","conduit_tests","list_pagin_08_test","","","","test_login",""
"passed","Sun Aug 15 20:13:18 GMT 2021","Sun Aug 15 20:13:34 GMT 2021","15496","conduit_tests","edit_email_05_test","","","","test_login",""
"broken","Sun Aug 15 20:16:38 GMT 2021","Sun Aug 15 20:16:38 GMT 2021","17","conduit_tests","logout_03_test","","","","test_logout",""
"passed","Sun Aug 15 20:14:50 GMT 2021","Sun Aug 15 20:14:57 GMT 2021","6479","conduit_tests","listazas_10_test","","","","test_login",""
"passed","Sun Aug 15 20:17:53 GMT 2021","Sun Aug 15 20:18:19 GMT 2021","25878","conduit_tests","register_01_test","","","","test_register",""
"broken","Sun Aug 15 20:12:37 GMT 2021","Sun Aug 15 20:12:40 GMT 2021","3020","conduit_tests","delete_06_test","","","","test_new_post",""
"broken","Sun Aug 15 20:17:14 GMT 2021","Sun Aug 15 20:17:42 GMT 2021","28575","conduit_tests","new_post_04_test","","","","test_new_post",""
"broken","Sun Aug 15 20:15:11 GMT 2021","Sun Aug 15 20:15:49 GMT 2021","37627","conduit_tests","login_02_test","","","","test_login",""
"passed","Sun Aug 15 20:14:57 GMT 2021","Sun Aug 15 20:14:57 GMT 2021","11","conduit_tests","listazas_10_test","","","","test_listazas",""
"broken","Sun Aug 15 20:13:34 GMT 2021","Sun Aug 15 20:13:35 GMT 2021","1083","conduit_tests","edit_email_05_test","","","","test_edit_emil",""
"passed","Sun Aug 15 20:16:45 GMT 2021","Sun Aug 15 20:17:02 GMT 2021","17058","conduit_tests","new_post_04_test","","","","test_login",""
"passed","Sun Aug 15 20:14:25 GMT 2021","Sun Aug 15 20:14:35 GMT 2021","10099","conduit_tests","list_pagin_08_test","","","","test_pagin",""
"broken","Sun Aug 15 20:17:02 GMT 2021","Sun Aug 15 20:17:04 GMT 2021","1099","conduit_tests","new_post_04_test","","","","test_home",""
"passed","Sun Aug 15 20:18:41 GMT 2021","Sun Aug 15 20:18:41 GMT 2021","165","conduit_tests","save_09_test","","","","test_save",""
"passed","Sun Aug 15 20:12:45 GMT 2021","Sun Aug 15 20:13:18 GMT 2021","32895","conduit_tests","edit_email_05_test","","","","test_register",""
"passed","Sun Aug 15 20:11:45 GMT 2021","Sun Aug 15 20:12:18 GMT 2021","32374","conduit_tests","cookie_post_07_test","","","","test_cookie1",""
"passed","Sun Aug 15 20:17:04 GMT 2021","Sun Aug 15 20:17:14 GMT 2021","10022","conduit_tests","new_post_04_test","","","","test_check1",""
"passed","Sun Aug 15 20:18:19 GMT 2021","Sun Aug 15 20:18:34 GMT 2021","14935","conduit_tests","save_09_test","","","","test_register",""
"passed","Sun Aug 15 20:14:35 GMT 2021","Sun Aug 15 20:14:50 GMT 2021","14861","conduit_tests","listazas_10_test","","","","test_register",""
"passed","Sun Aug 15 20:10:41 GMT 2021","Sun Aug 15 20:10:54 GMT 2021","13509","conduit_tests","adatbevitel_11_test","","","","test_login",""
